record_label,features,distinct_artists,distinct_authors,primary_genre,primary_country,first_feature,latest_feature
Dave Okumu,1,1,1,,United Kingdom,2023-04-21,2023-04-21
David Moore / Bing & Ruth,1,1,1,Ambient,United States,2020-07-17,2020-07-17
David Ze,1,1,1,World,Angola,2026-01-23,2026-01-23
DAWN,2,1,1,Alternative,United States,2022-10-21,2024-10-09
Daydream Library Series,1,1,1,Alternative,United States,2021-11-17,2021-11-17
Death & Vanilla,1,1,1,Alternative,Sweden,2019-05-17,2019-05-17
Deathbomb Arc,2,2,2,Alternative,United States,2019-08-14,2025-04-28
DeathCollectorUK,1,1,1,Metal,United Kingdom,2023-06-23,2023-06-23
Decoherence Records,1,1,1,Metal,United States,2024-10-08,2024-10-08
Deerhoof,1,1,1,Alternative,,2020-07-16,2020-07-16
Dennis Bovell MBE,1,1,1,Reggae,United Kingdom,2024-11-14,2024-11-14
DENOUNCEMENT PYRE,1,1,1,,Australia,2016-08-01,2016-08-01
deranged records,2,2,2,,Canada,2017-03-17,2017-03-29
Derya Yıldırım & Grup Şimşek,1,1,1,World,Germany,2025-03-14,2025-03-14
dinamarca,1,1,1,Electronic,Sweden,2025-05-14,2025-05-14
Discotchari,1,1,1,Pop,United States,2025-10-24,2025-10-24
DIVISION 81 RECORDS,1,1,1,Jazz,United States,2021-05-17,2021-05-17
Diz Undone (fka Dizraeli),1,1,1,Hip-Hop/Rap,United Kingdom,2024-06-03,2024-06-03
DJ EARL,1,1,1,Electronic,United States,2020-12-01,2020-12-01
dj haram,1,1,1,Electronic,United States,2025-07-18,2025-07-18
Dj Manny,2,1,2,Electronic,United States,2021-07-27,2023-11-21
DJs for Climate Action,1,1,1,Electronic,United States,2019-04-01,2019-04-01
DOC SLEEP,1,1,1,Electronic,United States,2023-03-21,2023-03-21
dolphin midwives,1,1,1,Alternative,United States,2021-07-08,2021-07-08
Don Leisure,1,1,1,Jazz,United Kingdom,2023-11-28,2023-11-28
Doom Trip,1,1,1,Experimental,United States,2020-04-09,2020-04-09
Drawing Room Records,1,1,1,Alternative,United States,2018-03-27,2018-03-27
Dream Catalogue,1,1,1,,United Kingdom,2016-07-26,2016-07-26
Drowned By Locals,1,1,1,Hip-Hop/Rap,Jordan,2025-10-31,2025-10-31
"Dualtone Music Group, Inc.",1,1,1,,United States,2016-10-10,2016-10-10
dumb,1,1,1,Rock,Canada,2022-11-10,2022-11-10
Duncecap,1,1,1,Hip-Hop/Rap,United States,2026-03-17,2026-03-17
DUPPY GUN,1,1,1,Reggae,United States,2018-05-02,2018-05-02
E L U C I D,2,1,2,Hip-Hop/Rap,United States,2022-06-15,2024-10-11
EARLY FUTURE RECORDS,1,1,1,Jazz,United States,2021-03-19,2021-03-19
Ecker & Meulyzer,1,1,1,,Germany,2019-11-13,2019-11-13
Efficient Space,2,2,2,Alternative,Australia,2017-04-21,2023-06-13
EGYPTRIXX,1,1,1,,Canada,2017-02-06,2017-02-06
Eighth Tower Records,1,1,1,Alternative,Italy,2020-03-10,2020-03-10
El Khat - القات,1,1,1,World,Germany,2024-09-12,2024-09-12
El Palmas Music,2,1,1,Latin,Spain,2020-12-04,2021-05-18
Elder,1,1,1,Metal,Germany,2021-12-01,2021-12-01
Electric Assault Records,1,1,1,Metal,United States,2025-01-27,2025-01-27
Electric Cowbell Records,1,1,1,Funk,United States,2018-11-02,2018-11-02
EM Records,2,2,2,Alternative,Japan,2024-11-19,2025-10-23
Emotional Response,1,1,1,Alternative,United States,2019-06-07,2019-06-07
empath,1,1,1,Alternative,United States,2022-02-14,2022-02-14
Erased Tapes,1,1,1,Experimental,United Kingdom,2018-07-10,2018-07-10
eremite records,1,1,1,Jazz,United States,2023-04-14,2023-04-14
Erste Theke Tontraeger,1,1,1,Alternative,Germany,2019-04-10,2019-04-10
Ethnic Heritage Ensemble,1,1,1,Jazz,United States,2024-03-06,2024-03-06
Etran de L'Aïr,1,1,1,World,Niger,2022-02-17,2022-02-17
EXUM,1,1,1,Hip-Hop/Rap,United States,2021-06-08,2021-06-08
FAMOUS CLASS RECORDS,1,1,1,,United States,2017-02-09,2017-02-09
Fat Beats Records,2,1,2,Funk,United States,2018-05-30,2020-03-09
Fat Ray,1,1,1,Hip-Hop/Rap,United States,2026-04-22,2026-04-22
Fat Tony,2,1,2,Hip-Hop/Rap,United States,2020-02-05,2023-08-28
Father/Daughter Records,2,2,2,Alternative,United States,2017-05-12,2020-06-17
Feeding Tube Records,1,1,1,Rock,United States,2026-06-18,2026-06-18
Fievel Is Glauque,1,1,1,Experimental,United States,2022-03-03,2022-03-03
FIGURE,1,1,1,Electronic,Germany,2021-04-02,2021-04-02
Filth is Eternal,1,1,1,Punk,United States,2023-09-28,2023-09-28
Fish Prints,1,1,1,Experimental,United States,2020-10-08,2020-10-08
Flatspot Records,1,1,1,Punk,United States,2023-02-28,2023-02-28
FLAU,1,1,1,Ambient,Japan,2017-08-17,2017-08-17
FLOWERTOWN,1,1,1,Rock,United States,2021-06-23,2021-06-23
Folktale Records,1,1,1,,United States,2016-07-08,2016-07-08
foodman,1,1,1,Experimental,Japan,2021-07-13,2021-07-13
Fortuna Records,1,1,1,World,Israel,2018-10-02,2018-10-02
foundation.fm records,1,1,1,Electronic,United Kingdom,2024-03-11,2024-03-11
Four Flies Records,2,2,2,Funk,Italy,2022-11-22,2026-06-02
FPE Records,2,2,2,Experimental,United States,2019-12-03,2024-08-07
frances chang,1,1,1,Experimental,United States,2024-02-16,2024-02-16
Freedom To Spend,2,2,1,Devotional,United States,2025-11-13,2026-04-02
Freestyle Records,1,1,1,Reggae,United Kingdom,2021-02-22,2021-02-22
Fresh Selects,2,2,2,R&B/Soul,,2017-03-30,2020-11-17
